what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1359154711746
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1359154711854
started,bundle,com.google.gdt.eclipse.platform.e36,2.5.1.v201201120043-rel-r36,"com.google.gdt.eclipse.platform.e36",1359154714124
started,bundle,com.google.gdt.eclipse.platform.shared,2.5.2.v201203300216-rel-r37,"com.google.gdt.eclipse.platform.shared",1359154714267
started,bundle,com.google.gwt.eclipse.core,2.5.2.v201203300216-rel-r37,"com.google.gwt.eclipse.core",1359154715085
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1359154715280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359154715741
started,bundle,com.google.appengine.eclipse.core,2.5.2.v201203300216-rel-r37,"com.google.appengine.eclipse.core",1359154716769
started,bundle,com.google.gdt.eclipse.appengine.rpc,2.5.2.v201203300216-rel-r37,"com.google.gdt.eclipse.appengine.rpc",1359154716800
started,bundle,com.google.gdt.eclipse.designer.hosted,2.5.0.r37x201112291019,"com.google.gdt.eclipse.designer.hosted",1359154716938
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1359154717560
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1359154720408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359154720559
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359154721441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359154724864
started,bundle,com.google.gdt.eclipse.designer.gpe,2.5.0.r37x201201030222,"com.google.gdt.eclipse.designer.gpe",1359154730680
started,bundle,com.google.gdt.eclipse.designer.wizards,2.4.2.r37x201110181249,"com.google.gdt.eclipse.designer.wizards",1359154730737
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1359154731167
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1359154731212
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1359154732641
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1359154732788
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1359154732956
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1359154733270
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1359154733785
started,bundle,com.google.gdt.eclipse.suite,2.5.2.v201203300216-rel-r37,"com.google.gdt.eclipse.suite",1359154748227
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1359154748263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359154748866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359154755010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359154756367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359154756572
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1359154756854
started,bundle,com.google.gdt.eclipse.maven,2.5.2.v201203300216-rel-r37,"com.google.gdt.eclipse.maven",1359154757151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359154757685
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1359154761396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359154764900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359154771719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359154991783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359154995579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359155015506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1359155015546
